,Year,change_compared_to_1800_avg
0,1900,0.88646099999999
1,1901,0.9590609999999984
2,1902,0.5315609999999893
3,1903,0.3799109999999928
4,1904,0.1472609999999861
5,1905,0.38891100000000023
6,1906,0.6659609999999887
7,1907,-0.11148900000001305
8,1908,0.3185609999999883
9,1909,0.3044609999999963
10,1910,0.38501099999999155
11,1911,0.3022109999999927
12,1912,0.28136099999999686
13,1913,0.5195609999999888
14,1914,1.0465109999999882
15,1915,1.0513109999999912
16,1916,0.3890609999999981
17,1917,0.02561099999999783
18,1918,0.21911099999999095
19,1919,0.6716609999999932
20,1920,0.6293609999999958
21,1921,1.0114109999999883
22,1922,0.71801099999999
23,1923,0.7435109999999909
24,1924,0.895910999999991
25,1925,0.9455609999999908
26,1926,1.2955109999999976
27,1927,0.9233609999999928
28,1928,1.121510999999991
29,1929,0.4199609999999936
30,1930,1.1240609999999904
31,1931,1.2782609999999934
32,1932,1.2530609999999953
33,1933,0.5924609999999859
34,1934,1.1146109999999965
35,1935,0.9119609999999909
36,1936,0.9808109999999886
37,1937,1.2406109999999941
38,1938,1.5382109999999898
39,1939,1.3522109999999898
40,1940,1.360010999999993
41,1941,1.3672109999999975
42,1942,1.294760999999994
43,1943,1.3427609999999959
44,1944,1.5046109999999828
45,1945,1.0363109999999907
46,1946,1.2020609999999934
47,1947,1.418360999999983
48,1948,1.3277609999999882
49,1949,1.0397609999999986
50,1950,0.6410609999999863
51,1951,1.1098109999999863
52,1952,1.132460999999985
53,1953,1.5563609999999883
54,1954,0.992810999999989
55,1955,1.1108609999999928
56,1956,0.48686099999999755
57,1957,1.3021109999999965
58,1958,1.3763609999999957
59,1959,1.3024109999999993
60,1960,1.0343609999999899
61,1961,1.4194109999999895
62,1962,1.3262609999999952
63,1963,1.5244109999999864
64,1964,0.7210110000000043
65,1965,0.9329609999999988
66,1966,1.0624109999999902
67,1967,1.243760999999985
68,1968,0.9130109999999902
69,1969,1.054760999999985
70,1970,1.2452609999999922
71,1971,1.0622609999999852
72,1972,0.8828609999999912
73,1973,1.690460999999992
74,1974,0.8251109999999926
75,1975,1.3243109999999945
76,1976,0.6086609999999908
77,1977,1.514060999999998
78,1978,1.2305609999999874
79,1979,1.3037609999999873
80,1980,1.7482109999999906
81,1981,2.0821109999999905
82,1982,1.13411099999999
83,1983,1.8343109999999925
84,1984,1.2289109999999894
85,1985,1.168011
86,1986,1.4840609999999899
87,1987,1.7735609999999937
88,1988,2.146460999999988
89,1989,1.6432109999999867
90,1990,2.205110999999995
91,1991,2.1065609999999992
92,1992,1.4894609999999844
93,1993,1.5434610000000006
94,1994,1.8533609999999996
95,1995,2.408360999999985
96,1996,1.8536609999999811
97,1997,2.148260999999991
98,1998,2.724410999999982
99,1999,2.2967609999999823
100,2000,2.1457109999999844
101,2001,2.5298609999999897
102,2002,2.8103610000000003
103,2003,2.729660999999993
104,2004,2.3678609999999836
105,2005,3.0452609999999822
106,2006,2.742110999999987
107,2007,3.101510999999988
108,2008,2.5607609999999923
109,2009,2.693060999999993
110,2010,3.049160999999991
111,2011,2.712410999999996
112,2012,2.6968109999999896
